Domain,Area,Element,Item,Year,Unit,Value
"Land Use","India","Share in Agricultural land","Arable land","1961","%","89.06"
"Land Use","India","Share in Agricultural land","Arable land","1962","%","88.79"
"Land Use","India","Share in Agricultural land","Arable land","1963","%","89.39"
"Land Use","India","Share in Agricultural land","Arable land","1964","%","89.26"
"Land Use","India","Share in Agricultural land","Arable land","1965","%","89.3"
"Land Use","India","Share in Agricultural land","Arable land","1966","%","89.33"
"Land Use","India","Share in Agricultural land","Arable land","1967","%","89.86"
"Land Use","India","Share in Agricultural land","Arable land","1968","%","89.74"
"Land Use","India","Share in Agricultural land","Arable land","1969","%","89.98"
"Land Use","India","Share in Agricultural land","Arable land","1970","%","90.18"
"Land Use","India","Share in Agricultural land","Arable land","1971","%","89.84"
"Land Use","India","Share in Agricultural land","Arable land","1972","%","90.02"
"Land Use","India","Share in Agricultural land","Arable land","1973","%","90.09"
"Land Use","India","Share in Agricultural land","Arable land","1974","%","90.08"
"Land Use","India","Share in Agricultural land","Arable land","1975","%","90.06"
"Land Use","India","Share in Agricultural land","Arable land","1976","%","90.21"
"Land Use","India","Share in Agricultural land","Arable land","1977","%","90.24"
"Land Use","India","Share in Agricultural land","Arable land","1978","%","90.39"
"Land Use","India","Share in Agricultural land","Arable land","1979","%","90.51"
"Land Use","India","Share in Agricultural land","Arable land","1980","%","90.34"
"Land Use","India","Share in Agricultural land","Arable land","1981","%","90.31"
"Land Use","India","Share in Agricultural land","Arable land","1982","%","90.31"
"Land Use","India","Share in Agricultural land","Arable land","1983","%","90.18"
"Land Use","India","Share in Agricultural land","Arable land","1984","%","90.17"
"Land Use","India","Share in Agricultural land","Arable land","1985","%","90.18"
"Land Use","India","Share in Agricultural land","Arable land","1986","%","90.19"
"Land Use","India","Share in Agricultural land","Arable land","1987","%","89.9"
"Land Use","India","Share in Agricultural land","Arable land","1988","%","89.94"
"Land Use","India","Share in Agricultural land","Arable land","1989","%","90.07"
"Land Use","India","Share in Agricultural land","Arable land","1990","%","90.1"
"Land Use","India","Share in Agricultural land","Arable land","1991","%","89.86"
"Land Use","India","Share in Agricultural land","Arable land","1992","%","89.74"
"Land Use","India","Share in Agricultural land","Arable land","1993","%","89.64"
"Land Use","India","Share in Agricultural land","Arable land","1994","%","89.65"
"Land Use","India","Share in Agricultural land","Arable land","1995","%","89.48"
"Land Use","India","Share in Agricultural land","Arable land","1996","%","89.17"
"Land Use","India","Share in Agricultural land","Arable land","1997","%","89.29"
"Land Use","India","Share in Agricultural land","Arable land","1998","%","89.24"
"Land Use","India","Share in Agricultural land","Arable land","1999","%","88.93"
"Land Use","India","Share in Agricultural land","Arable land","2000","%","88.92"
"Land Use","India","Share in Agricultural land","Arable land","2001","%","88.83"
"Land Use","India","Share in Agricultural land","Arable land","2002","%","88.85"
"Land Use","India","Share in Agricultural land","Arable land","2003","%","88.65"
"Land Use","India","Share in Agricultural land","Arable land","2004","%","88.53"
"Land Use","India","Share in Agricultural land","Arable land","2005","%","88.52"
"Land Use","India","Share in Agricultural land","Arable land","2006","%","88.19"
"Land Use","India","Share in Agricultural land","Arable land","2007","%","87.98"
"Land Use","India","Share in Agricultural land","Arable land","2008","%","87.89"
"Land Use","India","Share in Agricultural land","Arable land","2009","%","87.7"
"Land Use","India","Share in Agricultural land","Arable land","2010","%","87.43"
"Land Use","India","Share in Agricultural land","Arable land","2011","%","87.37"
"Land Use","India","Share in Agricultural land","Arable land","2012","%","87.14"
"Land Use","India","Share in Agricultural land","Arable land","2013","%","87.06"
"Land Use","India","Share in Agricultural land","Arable land","2014","%","87.06"
"Land Use","India","Share in Agricultural land","Arable land","2015","%","87.06"
"Land Use","India","Share in Agricultural land","Arable land","2016","%","87.06"
