Domain,Area,Element,Item,Year,Unit,Value
"Live Animals","India","Stocks","Goats","1961","Head","60864000"
"Live Animals","India","Stocks","Goats","1962","Head","61600000"
"Live Animals","India","Stocks","Goats","1963","Head","62334000"
"Live Animals","India","Stocks","Goats","1964","Head","63070000"
"Live Animals","India","Stocks","Goats","1965","Head","63800000"
"Live Animals","India","Stocks","Goats","1966","Head","64589008"
"Live Animals","India","Stocks","Goats","1967","Head","65066000"
"Live Animals","India","Stocks","Goats","1968","Head","65549000"
"Live Animals","India","Stocks","Goats","1969","Head","66036000"
"Live Animals","India","Stocks","Goats","1970","Head","66526000"
"Live Animals","India","Stocks","Goats","1971","Head","67026000"
"Live Animals","India","Stocks","Goats","1972","Head","67518000"
"Live Animals","India","Stocks","Goats","1973","Head","69000000"
"Live Animals","India","Stocks","Goats","1974","Head","71000000"
"Live Animals","India","Stocks","Goats","1975","Head","72500000"
"Live Animals","India","Stocks","Goats","1976","Head","74000000"
"Live Animals","India","Stocks","Goats","1977","Head","75620000"
"Live Animals","India","Stocks","Goats","1978","Head","79200000"
"Live Animals","India","Stocks","Goats","1979","Head","83000000"
"Live Animals","India","Stocks","Goats","1980","Head","86900000"
"Live Animals","India","Stocks","Goats","1981","Head","91000000"
"Live Animals","India","Stocks","Goats","1982","Head","95253008"
"Live Animals","India","Stocks","Goats","1983","Head","98300000"
"Live Animals","India","Stocks","Goats","1984","Head","99430000"
"Live Animals","India","Stocks","Goats","1985","Head","99490000"
"Live Animals","India","Stocks","Goats","1986","Head","102870000"
"Live Animals","India","Stocks","Goats","1987","Head","110207000"
"Live Animals","India","Stocks","Goats","1988","Head","111200000"
"Live Animals","India","Stocks","Goats","1989","Head","112200000"
"Live Animals","India","Stocks","Goats","1990","Head","113200000"
"Live Animals","India","Stocks","Goats","1991","Head","114200000"
"Live Animals","India","Stocks","Goats","1992","Head","115279000"
"Live Animals","India","Stocks","Goats","1993","Head","116700000"
"Live Animals","India","Stocks","Goats","1994","Head","118200000"
"Live Animals","India","Stocks","Goats","1995","Head","119700000"
"Live Animals","India","Stocks","Goats","1996","Head","121200000"
"Live Animals","India","Stocks","Goats","1997","Head","122721000"
"Live Animals","India","Stocks","Goats","1998","Head","122991000"
"Live Animals","India","Stocks","Goats","1999","Head","123262000"
"Live Animals","India","Stocks","Goats","2000","Head","123533000"
"Live Animals","India","Stocks","Goats","2001","Head","123805000"
"Live Animals","India","Stocks","Goats","2002","Head","124077000"
"Live Animals","India","Stocks","Goats","2003","Head","124358000"
"Live Animals","India","Stocks","Goats","2004","Head","128213000"
"Live Animals","India","Stocks","Goats","2005","Head","132188000"
"Live Animals","India","Stocks","Goats","2006","Head","136286000"
"Live Animals","India","Stocks","Goats","2007","Head","140540000"
"Live Animals","India","Stocks","Goats","2008","Head","139467008"
"Live Animals","India","Stocks","Goats","2009","Head","138394000"
"Live Animals","India","Stocks","Goats","2010","Head","137320992"
"Live Animals","India","Stocks","Goats","2011","Head","136248000"
"Live Animals","India","Stocks","Goats","2012","Head","135173093"
"Live Animals","India","Stocks","Goats","2013","Head","134000000"
"Live Animals","India","Stocks","Goats","2014","Head","133000000"
"Live Animals","India","Stocks","Goats","2015","Head","132032424"
"Live Animals","India","Stocks","Goats","2016","Head","134127369"
