Domain,Area,Element,Item,Year,Unit,Value,Note
"Annual population","India","Rural population","Population - Est. & Proj.","1961","1000 persons","375928","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","1962","1000 persons","382709","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","1963","1000 persons","389708","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","1964","1000 persons","396938","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","1965","1000 persons","404412","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","1966","1000 persons","412128","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","1967","1000 persons","420088","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","1968","1000 persons","428296","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","1969","1000 persons","436764","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","1970","1000 persons","445490","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","1971","1000 persons","454293","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","1972","1000 persons","462775","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","1973","1000 persons","471471","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","1974","1000 persons","480380","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","1975","1000 persons","489500","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Rural population","Population - Est. & Proj.","1976","1000 persons","498825","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
