Domain,Area,Element,Item,Year,Unit,Value,Note
"Annual population","India","Urban population","Population - Est. & Proj.","1961","1000 persons","82698.932","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1962","1000 persons","85253.03","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1963","1000 persons","87907.578","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1964","1000 persons","90669.652","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1965","1000 persons","93540.8","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1966","1000 persons","96528.385","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1967","1000 persons","99634.285","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1968","1000 persons","102864.61","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1969","1000 persons","106220.013","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1970","1000 persons","109709.315","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1971","1000 persons","113512.218","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1972","1000 persons","118023.483","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1973","1000 persons","122721.526","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1974","1000 persons","127623.06","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1975","1000 persons","132732.329","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1976","1000 persons","138058.698","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1977","1000 persons","143594.413","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1978","1000 persons","149343.937","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1979","1000 persons","155295.495","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1980","1000 persons","161445.95","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1981","1000 persons","167454.079","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1982","1000 persons","172966.267","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1983","1000 persons","178614.168","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1984","1000 persons","184406.432","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1985","1000 persons","190338.784","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1986","1000 persons","196419.548","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1987","1000 persons","202639.508","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1988","1000 persons","208987.466","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1989","1000 persons","215436.184","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1990","1000 persons","221979.229","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1991","1000 persons","228487.323","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1992","1000 persons","234833.887","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1993","1000 persons","241245.387","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1994","1000 persons","247737.73","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1995","1000 persons","254314.016","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1996","1000 persons","260973.495","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1997","1000 persons","267702.188","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1998","1000 persons","274510.096","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","1999","1000 persons","281396.885","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","2000","1000 persons","288365.219","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","2001","1000 persons","295795.037","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","2002","1000 persons","304104.788","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","2003","1000 persons","312516.312","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","2004","1000 persons","321000.352","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","2005","1000 persons","329516.783","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","2006","1000 persons","338063.779","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","2007","1000 persons","346642.865","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","2008","1000 persons","355287.472","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","2009","1000 persons","364024.51","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","2010","1000 persons","372901.884","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","2011","1000 persons","381925.604","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","2012","1000 persons","391170.873","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
"Annual population","India","Urban population","Population - Est. & Proj.","2013","1000 persons","400605.978","UNDESA, Population Division – World Urbanization Prospects, the 2012 & 2014 Revisions"
