Domain,Area,Element,Item,Year,Unit,Value
"Crops","India","Yield","Beans, green","1961","hg/ha","23125"
"Crops","India","Yield","Beans, green","1962","hg/ha","22963"
"Crops","India","Yield","Beans, green","1963","hg/ha","22892"
"Crops","India","Yield","Beans, green","1964","hg/ha","23529"
"Crops","India","Yield","Beans, green","1965","hg/ha","23864"
"Crops","India","Yield","Beans, green","1966","hg/ha","23563"
"Crops","India","Yield","Beans, green","1967","hg/ha","23333"
"Crops","India","Yield","Beans, green","1968","hg/ha","23404"
"Crops","India","Yield","Beans, green","1969","hg/ha","23958"
"Crops","India","Yield","Beans, green","1970","hg/ha","24000"
"Crops","India","Yield","Beans, green","1971","hg/ha","23810"
"Crops","India","Yield","Beans, green","1972","hg/ha","24528"
"Crops","India","Yield","Beans, green","1973","hg/ha","25234"
"Crops","India","Yield","Beans, green","1974","hg/ha","25182"
"Crops","India","Yield","Beans, green","1975","hg/ha","25000"
"Crops","India","Yield","Beans, green","1976","hg/ha","24825"
"Crops","India","Yield","Beans, green","1977","hg/ha","24783"
"Crops","India","Yield","Beans, green","1978","hg/ha","25000"
"Crops","India","Yield","Beans, green","1979","hg/ha","25207"
"Crops","India","Yield","Beans, green","1980","hg/ha","25600"
"Crops","India","Yield","Beans, green","1981","hg/ha","26400"
"Crops","India","Yield","Beans, green","1982","hg/ha","26923"
"Crops","India","Yield","Beans, green","1983","hg/ha","26894"
"Crops","India","Yield","Beans, green","1984","hg/ha","27068"
"Crops","India","Yield","Beans, green","1985","hg/ha","27239"
"Crops","India","Yield","Beans, green","1986","hg/ha","27407"
"Crops","India","Yield","Beans, green","1987","hg/ha","27574"
"Crops","India","Yield","Beans, green","1988","hg/ha","27899"
"Crops","India","Yield","Beans, green","1989","hg/ha","27465"
"Crops","India","Yield","Beans, green","1990","hg/ha","29561"
"Crops","India","Yield","Beans, green","1991","hg/ha","26154"
"Crops","India","Yield","Beans, green","1992","hg/ha","26439"
"Crops","India","Yield","Beans, green","1993","hg/ha","26736"
"Crops","India","Yield","Beans, green","1994","hg/ha","26759"
"Crops","India","Yield","Beans, green","1995","hg/ha","26858"
"Crops","India","Yield","Beans, green","1996","hg/ha","27027"
"Crops","India","Yield","Beans, green","1997","hg/ha","27133"
"Crops","India","Yield","Beans, green","1998","hg/ha","27333"
"Crops","India","Yield","Beans, green","1999","hg/ha","27382"
"Crops","India","Yield","Beans, green","2000","hg/ha","27480"
"Crops","India","Yield","Beans, green","2001","hg/ha","27575"
"Crops","India","Yield","Beans, green","2002","hg/ha","27667"
"Crops","India","Yield","Beans, green","2003","hg/ha","27759"
"Crops","India","Yield","Beans, green","2004","hg/ha","27765"
"Crops","India","Yield","Beans, green","2005","hg/ha","27800"
"Crops","India","Yield","Beans, green","2006","hg/ha","27834"
"Crops","India","Yield","Beans, green","2007","hg/ha","27866"
"Crops","India","Yield","Beans, green","2008","hg/ha","27897"
"Crops","India","Yield","Beans, green","2009","hg/ha","27927"
"Crops","India","Yield","Beans, green","2010","hg/ha","27956"
"Crops","India","Yield","Beans, green","2011","hg/ha","27983"
"Crops","India","Yield","Beans, green","2012","hg/ha","28182"
"Crops","India","Yield","Beans, green","2013","hg/ha","28182"
"Crops","India","Yield","Beans, green","2014","hg/ha","28099"
"Crops","India","Yield","Beans, green","2015","hg/ha","28053"
"Crops","India","Yield","Beans, green","2016","hg/ha","27947"
"Crops","India","Yield","Beans, green","2017","hg/ha","27940"
