Domain,Area,Element,Item,Year,Unit,Value
"Pesticides Trade","India","Import Value","Pesticides (total)","1961","1000 US$","1253"
"Pesticides Trade","India","Import Value","Pesticides (total)","1962","1000 US$","1281"
"Pesticides Trade","India","Import Value","Pesticides (total)","1963","1000 US$","2032"
"Pesticides Trade","India","Import Value","Pesticides (total)","1964","1000 US$","2017"
"Pesticides Trade","India","Import Value","Pesticides (total)","1965","1000 US$","4247"
"Pesticides Trade","India","Import Value","Pesticides (total)","1966","1000 US$","10929"
"Pesticides Trade","India","Import Value","Pesticides (total)","1967","1000 US$","6920"
"Pesticides Trade","India","Import Value","Pesticides (total)","1968","1000 US$","8494"
"Pesticides Trade","India","Import Value","Pesticides (total)","1969","1000 US$","4071"
"Pesticides Trade","India","Import Value","Pesticides (total)","1970","1000 US$","6510"
"Pesticides Trade","India","Import Value","Pesticides (total)","1971","1000 US$","7383"
"Pesticides Trade","India","Import Value","Pesticides (total)","1972","1000 US$","9445"
"Pesticides Trade","India","Import Value","Pesticides (total)","1973","1000 US$","12445"
"Pesticides Trade","India","Import Value","Pesticides (total)","1974","1000 US$","18960"
"Pesticides Trade","India","Import Value","Pesticides (total)","1975","1000 US$","27612"
"Pesticides Trade","India","Import Value","Pesticides (total)","1976","1000 US$","9967"
"Pesticides Trade","India","Import Value","Pesticides (total)","1977","1000 US$","13978"
"Pesticides Trade","India","Import Value","Pesticides (total)","1978","1000 US$","20990"
"Pesticides Trade","India","Import Value","Pesticides (total)","1979","1000 US$","25000"
"Pesticides Trade","India","Import Value","Pesticides (total)","1980","1000 US$","33924"
"Pesticides Trade","India","Import Value","Pesticides (total)","1981","1000 US$","12651"
"Pesticides Trade","India","Import Value","Pesticides (total)","1982","1000 US$","15000"
"Pesticides Trade","India","Import Value","Pesticides (total)","1983","1000 US$","20000"
"Pesticides Trade","India","Import Value","Pesticides (total)","1984","1000 US$","33383"
"Pesticides Trade","India","Import Value","Pesticides (total)","1985","1000 US$","25000"
"Pesticides Trade","India","Import Value","Pesticides (total)","1986","1000 US$","24426"
"Pesticides Trade","India","Import Value","Pesticides (total)","1987","1000 US$","14977"
"Pesticides Trade","India","Import Value","Pesticides (total)","1988","1000 US$","23419"
"Pesticides Trade","India","Import Value","Pesticides (total)","1989","1000 US$","25027"
"Pesticides Trade","India","Import Value","Pesticides (total)","1990","1000 US$","16203"
"Pesticides Trade","India","Import Value","Pesticides (total)","1991","1000 US$","26471"
"Pesticides Trade","India","Import Value","Pesticides (total)","1992","1000 US$","15738"
"Pesticides Trade","India","Import Value","Pesticides (total)","1993","1000 US$","16295"
"Pesticides Trade","India","Import Value","Pesticides (total)","1994","1000 US$","29030"
"Pesticides Trade","India","Import Value","Pesticides (total)","1995","1000 US$","39987"
"Pesticides Trade","India","Import Value","Pesticides (total)","1996","1000 US$","44626"
"Pesticides Trade","India","Import Value","Pesticides (total)","1997","1000 US$","37338"
"Pesticides Trade","India","Import Value","Pesticides (total)","1998","1000 US$","39858"
"Pesticides Trade","India","Import Value","Pesticides (total)","1999","1000 US$","55031"
"Pesticides Trade","India","Import Value","Pesticides (total)","2000","1000 US$","49212"
"Pesticides Trade","India","Import Value","Pesticides (total)","2001","1000 US$","46409"
"Pesticides Trade","India","Import Value","Pesticides (total)","2002","1000 US$","59015"
"Pesticides Trade","India","Import Value","Pesticides (total)","2003","1000 US$","107629"
"Pesticides Trade","India","Import Value","Pesticides (total)","2004","1000 US$","152895"
"Pesticides Trade","India","Import Value","Pesticides (total)","2005","1000 US$","171121"
"Pesticides Trade","India","Import Value","Pesticides (total)","2006","1000 US$","178006"
"Pesticides Trade","India","Import Value","Pesticides (total)","2007","1000 US$","193891.841"
"Pesticides Trade","India","Import Value","Pesticides (total)","2008","1000 US$","341507.671"
"Pesticides Trade","India","Import Value","Pesticides (total)","2009","1000 US$","439025.536"
"Pesticides Trade","India","Import Value","Pesticides (total)","2010","1000 US$","629274.21"
"Pesticides Trade","India","Import Value","Pesticides (total)","2011","1000 US$","730999.622"
"Pesticides Trade","India","Import Value","Pesticides (total)","2012","1000 US$","724627.631"
"Pesticides Trade","India","Import Value","Pesticides (total)","2013","1000 US$","792573.269"
"Pesticides Trade","India","Import Value","Pesticides (total)","2014","1000 US$","990318.946"
"Pesticides Trade","India","Import Value","Pesticides (total)","2015","1000 US$","888596.907"
"Pesticides Trade","India","Import Value","Pesticides (total)","2016","1000 US$","936248.301"
